name,type,start_time,duration,"mosi","miso"
"SPI","disable",1.638278958,0.000000042,,
"SPI","enable",1.638317333,0.000000042,,
"SPI","result",1.638317833,0.000007542,0x8E,0x20
"SPI","result",1.638325833,0.000007542,0x00,0x6B
"SPI","disable",1.638334333,0.000000042,,
"SPI","enable",1.638372708,0.000000042,,
"SPI","result",1.638373208,0.000007542,0x8F,0x20
"SPI","result",1.638381208,0.000007542,0x00,0xD0
"SPI","disable",1.638389708,0.000000042,,
"SPI","enable",1.638428125,0.000000042,,
"SPI","result",1.638428625,0.000007542,0x90,0x20
"SPI","result",1.638436625,0.000007542,0x00,0x5C
"SPI","disable",1.638445125,0.000000042,,
"SPI","enable",1.638484167,0.000000042,,
"SPI","result",1.638484667,0.000007542,0x91,0x20
"SPI","result",1.638492667,0.000007542,0x00,0x0F
"SPI","disable",1.638501167,0.000000042,,
"SPI","enable",1.638539542,0.000000042,,
"SPI","result",1.638540042,0.000007542,0x92,0x20
"SPI","result",1.638548042,0.000007542,0x00,0x05
"SPI","disable",1.638556583,0.000000042,,
"SPI","enable",1.638594958,0.000000042,,
"SPI","result",1.638595458,0.000007542,0x93,0x20
"SPI","result",1.638603458,0.000007542,0x00,0x22
"SPI","disable",1.638611958,0.000000042,,
"SPI","enable",1.638650333,0.000000042,,
"SPI","result",1.638650833,0.000007542,0x94,0x20
"SPI","result",1.638658833,0.000007542,0x00,0xF8
"SPI","disable",1.638667375,0.000000042,,
"SPI","enable",1.638706375,0.000000042,,
"SPI","result",1.638706875,0.000007542,0x95,0x20
"SPI","result",1.638714875,0.000007542,0x00,0x50
"SPI","disable",1.638723375,0.000000042,,
"SPI","enable",1.63876175,0.000000042,,
"SPI","result",1.63876225,0.000007542,0xA3,0x20
"SPI","result",1.63877025,0.000007542,0x00,0xE9
"SPI","disable",1.638778792,0.000000042,,
"SPI","enable",1.638817167,0.000000042,,
"SPI","result",1.638817667,0.000007542,0xA4,0x20
"SPI","result",1.638825667,0.000007542,0x00,0x0A
"SPI","disable",1.638834167,0.000000042,,
"SPI","enable",1.638873208,0.000000042,,
"SPI","result",1.638873708,0.000007542,0xA5,0x20
"SPI","result",1.638881708,0.000007542,0x00,0x00
"SPI","disable",1.638890208,0.000000042,,
"SPI","enable",1.638928625,0.000000042,,
"SPI","result",1.638929125,0.000007542,0xA6,0x20
"SPI","result",1.638937125,0.000007542,0x00,0x11
"SPI","disable",1.638945625,0.000000042,,
"SPI","enable",1.663544167,0.000000042,,
"SPI","result",1.663544667,0.000007542,0x3A,0x2F
"SPI","disable",1.663553167,0.000000042,,
"SPI","enable",1.663590333,0.000000042,,
"SPI","result",1.663590833,0.000007542,0x34,0x2F
